State,City,UnleadedPetrol,PremiumUnleadedPetrol,UnleadedPetrol E10,UnleadedPetrol 98,Diesel,BiodieselB5,Date
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,236.73,N/A,2026-09-05
NEW SOUTH WALES,SYDNEY,198.88,208.82,198.91,222.12,234.53,N/A,2026-09-05
NORTHERN TERRITORY,DARWIN,203.74,216.56,N/A,N/A,240.27,N/A,2026-09-05
QUEENSLAND,BRISBANE,197.12,206.98,198.02,220.51,235.33,241.58,2026-09-05
QUEENSLAND,CAIRNS,203.93,219.11,N/A,N/A,239.06,N/A,2026-09-05
QUEENSLAND,GLADSTONE,203.86,212.97,N/A,N/A,239.64,N/A,2026-09-05
QUEENSLAND,MACKAY,204.19,N/A,N/A,N/A,239.38,N/A,2026-09-05
QUEENSLAND,TOWNSVILLE,203.68,214.74,N/A,229.32,238.84,N/A,2026-09-05
QUEENSLAND,WEIPA,228.32,N/A,N/A,N/A,251.79,N/A,2026-09-05
SOUTH AUSTRALIA,ADELAIDE,197.67,207.17,199.19,221.75,236.74,N/A,2026-09-05
SOUTH AUSTRALIA,PORT LINCOLN,206.67,N/A,N/A,232.35,245.34,N/A,2026-09-05
TASMANIA,DEVONPORT,203.03,215.45,N/A,N/A,240.68,N/A,2026-09-05
TASMANIA,HOBART,203.12,215.50,N/A,230.67,239.93,N/A,2026-09-05
VICTORIA,GEELONG,196.31,206.15,N/A,219.98,236.60,N/A,2026-09-05
VICTORIA,MELBOURNE,196.31,206.15,197.19,219.98,236.60,N/A,2026-09-05
WESTERN AUSTRALIA,BROOME,247.53,258.08,N/A,N/A,265.84,N/A,2026-09-05
WESTERN AUSTRALIA,COCOS Island,N/A,418.29,N/A,N/A,278.05,N/A,2026-09-05
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,254.65,N/A,2026-09-05
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,239.40,N/A,2026-09-05
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,254.65,N/A,2026-09-05
WESTERN AUSTRALIA,PERTH,197.84,211.81,N/A,225.46,233.17,N/A,2026-09-05
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,263.78,N/A,2026-09-05
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,231.40,N/A,2026-09-04
NEW SOUTH WALES,SYDNEY,195.99,205.92,196.04,219.22,231.39,N/A,2026-09-04
NORTHERN TERRITORY,DARWIN,200.89,213.68,N/A,N/A,237.18,N/A,2026-09-04
QUEENSLAND,BRISBANE,194.24,204.08,195.16,217.60,230.01,236.48,2026-09-04
QUEENSLAND,CAIRNS,201.04,216.18,N/A,N/A,235.93,N/A,2026-09-04
QUEENSLAND,GLADSTONE,200.96,210.05,N/A,N/A,234.31,N/A,2026-09-04
QUEENSLAND,MACKAY,201.28,N/A,N/A,N/A,234.06,N/A,2026-09-04
QUEENSLAND,TOWNSVILLE,200.78,211.81,N/A,226.38,235.71,N/A,2026-09-04
QUEENSLAND,WEIPA,225.39,N/A,N/A,N/A,246.40,N/A,2026-09-04
SOUTH AUSTRALIA,ADELAIDE,194.78,204.27,196.32,218.83,231.41,N/A,2026-09-04
SOUTH AUSTRALIA,PORT LINCOLN,203.76,N/A,N/A,229.44,239.97,N/A,2026-09-04
TASMANIA,DEVONPORT,200.11,212.52,N/A,N/A,234.21,N/A,2026-09-04
TASMANIA,HOBART,200.20,212.58,N/A,227.73,233.46,N/A,2026-09-04
VICTORIA,GEELONG,193.42,203.26,N/A,217.09,231.28,N/A,2026-09-04
VICTORIA,MELBOURNE,193.42,203.26,194.33,217.09,231.28,N/A,2026-09-04
WESTERN AUSTRALIA,BROOME,244.19,254.71,N/A,N/A,259.33,N/A,2026-09-04
WESTERN AUSTRALIA,COCOS Island,N/A,415.68,N/A,N/A,272.24,N/A,2026-09-04
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,248.26,N/A,2026-09-04
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,233.00,N/A,2026-09-04
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,248.26,N/A,2026-09-04
WESTERN AUSTRALIA,PERTH,194.99,208.93,N/A,222.57,226.75,N/A,2026-09-04
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,257.36,N/A,2026-09-04
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,231.11,N/A,2026-09-03
NEW SOUTH WALES,SYDNEY,194.70,204.63,194.76,217.93,231.09,N/A,2026-09-03
NORTHERN TERRITORY,DARWIN,199.64,212.41,N/A,N/A,236.91,N/A,2026-09-03
QUEENSLAND,BRISBANE,192.96,202.81,193.88,216.33,229.72,236.28,2026-09-03
QUEENSLAND,CAIRNS,199.77,214.89,N/A,N/A,235.63,N/A,2026-09-03
QUEENSLAND,GLADSTONE,199.67,208.75,N/A,N/A,234.01,N/A,2026-09-03
QUEENSLAND,MACKAY,199.99,N/A,N/A,N/A,233.76,N/A,2026-09-03
QUEENSLAND,TOWNSVILLE,199.52,210.51,N/A,225.07,235.41,N/A,2026-09-03
QUEENSLAND,WEIPA,224.06,N/A,N/A,N/A,246.04,N/A,2026-09-03
SOUTH AUSTRALIA,ADELAIDE,193.50,202.99,195.03,217.56,231.12,N/A,2026-09-03
SOUTH AUSTRALIA,PORT LINCOLN,202.46,N/A,N/A,228.16,239.64,N/A,2026-09-03
TASMANIA,DEVONPORT,198.81,211.22,N/A,N/A,233.89,N/A,2026-09-03
TASMANIA,HOBART,198.90,211.28,N/A,226.44,233.15,N/A,2026-09-03
VICTORIA,GEELONG,192.14,201.97,N/A,215.80,230.99,N/A,2026-09-03
VICTORIA,MELBOURNE,192.14,201.97,193.05,215.80,230.99,N/A,2026-09-03
WESTERN AUSTRALIA,BROOME,242.52,253.04,N/A,N/A,258.98,N/A,2026-09-03
WESTERN AUSTRALIA,COCOS Island,N/A,414.53,N/A,N/A,271.99,N/A,2026-09-03
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,248.00,N/A,2026-09-03
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,232.73,N/A,2026-09-03
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,248.00,N/A,2026-09-03
WESTERN AUSTRALIA,PERTH,193.72,207.67,N/A,221.31,226.50,N/A,2026-09-03
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,257.09,N/A,2026-09-03
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,231.72,N/A,2026-09-02
NEW SOUTH WALES,SYDNEY,193.47,203.40,193.55,216.70,231.69,N/A,2026-09-02
NORTHERN TERRITORY,DARWIN,198.47,211.26,N/A,N/A,237.59,N/A,2026-09-02
QUEENSLAND,BRISBANE,191.74,201.59,192.69,215.11,230.35,236.90,2026-09-02
QUEENSLAND,CAIRNS,198.55,213.64,N/A,N/A,236.24,N/A,2026-09-02
QUEENSLAND,GLADSTONE,198.43,207.50,N/A,N/A,234.63,N/A,2026-09-02
QUEENSLAND,MACKAY,198.74,N/A,N/A,N/A,234.38,N/A,2026-09-02
QUEENSLAND,TOWNSVILLE,198.30,209.25,N/A,223.82,236.02,N/A,2026-09-02
QUEENSLAND,WEIPA,222.75,N/A,N/A,N/A,246.53,N/A,2026-09-02
SOUTH AUSTRALIA,ADELAIDE,192.28,201.77,193.84,216.34,231.73,N/A,2026-09-02
SOUTH AUSTRALIA,PORT LINCOLN,201.17,N/A,N/A,226.94,240.19,N/A,2026-09-02
TASMANIA,DEVONPORT,197.55,209.96,N/A,N/A,234.45,N/A,2026-09-02
TASMANIA,HOBART,197.64,210.01,N/A,225.17,233.71,N/A,2026-09-02
VICTORIA,GEELONG,190.93,200.76,N/A,214.59,231.61,N/A,2026-09-02
VICTORIA,MELBOURNE,190.93,200.76,191.86,214.59,231.61,N/A,2026-09-02
WESTERN AUSTRALIA,BROOME,240.47,250.99,N/A,N/A,259.49,N/A,2026-09-02
WESTERN AUSTRALIA,COCOS Island,N/A,413.47,N/A,N/A,272.62,N/A,2026-09-02
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,248.69,N/A,2026-09-02
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,233.39,N/A,2026-09-02
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,248.69,N/A,2026-09-02
WESTERN AUSTRALIA,PERTH,192.57,206.50,N/A,220.15,227.18,N/A,2026-09-02
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,257.76,N/A,2026-09-02
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,233.57,N/A,2026-09-01
NEW SOUTH WALES,SYDNEY,193.52,203.47,193.62,216.78,233.53,N/A,2026-09-01
NORTHERN TERRITORY,DARWIN,198.63,211.42,N/A,N/A,239.51,N/A,2026-09-01
QUEENSLAND,BRISBANE,191.82,201.67,192.79,215.20,232.22,238.68,2026-09-01
QUEENSLAND,CAIRNS,198.62,213.70,N/A,N/A,238.08,N/A,2026-09-01
QUEENSLAND,GLADSTONE,198.46,207.56,N/A,N/A,236.49,N/A,2026-09-01
QUEENSLAND,MACKAY,198.76,N/A,N/A,N/A,236.24,N/A,2026-09-01
QUEENSLAND,TOWNSVILLE,198.36,209.30,N/A,223.87,237.86,N/A,2026-09-01
QUEENSLAND,WEIPA,222.70,N/A,N/A,N/A,248.26,N/A,2026-09-01
SOUTH AUSTRALIA,ADELAIDE,192.36,201.87,193.94,216.44,233.59,N/A,2026-09-01
SOUTH AUSTRALIA,PORT LINCOLN,201.17,N/A,N/A,227.04,241.95,N/A,2026-09-01
TASMANIA,DEVONPORT,197.57,209.99,N/A,N/A,236.25,N/A,2026-09-01
TASMANIA,HOBART,197.66,210.05,N/A,225.21,235.50,N/A,2026-09-01
VICTORIA,GEELONG,191.00,200.85,N/A,214.69,233.48,N/A,2026-09-01
VICTORIA,MELBOURNE,191.00,200.85,191.95,214.69,233.48,N/A,2026-09-01
WESTERN AUSTRALIA,BROOME,239.54,250.09,N/A,N/A,261.22,N/A,2026-09-01
WESTERN AUSTRALIA,COCOS Island,N/A,413.61,N/A,N/A,274.38,N/A,2026-09-01
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,250.65,N/A,2026-09-01
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,235.30,N/A,2026-09-01
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,250.65,N/A,2026-09-01
WESTERN AUSTRALIA,PERTH,192.70,206.66,N/A,220.32,229.11,N/A,2026-09-01
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,259.69,N/A,2026-09-01
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,235.99,N/A,2026-08-29
NEW SOUTH WALES,SYDNEY,193.74,203.70,193.85,217.02,235.94,N/A,2026-08-29
NORTHERN TERRITORY,DARWIN,198.77,211.59,N/A,N/A,241.85,N/A,2026-08-29
QUEENSLAND,BRISBANE,192.05,201.93,193.03,215.46,234.62,240.92,2026-08-29
QUEENSLAND,CAIRNS,198.80,213.86,N/A,N/A,240.43,N/A,2026-08-29
QUEENSLAND,GLADSTONE,198.61,207.71,N/A,N/A,238.82,N/A,2026-08-29
QUEENSLAND,MACKAY,198.91,N/A,N/A,N/A,238.59,N/A,2026-08-29
QUEENSLAND,TOWNSVILLE,198.52,209.43,N/A,224.02,240.16,N/A,2026-08-29
QUEENSLAND,WEIPA,222.77,N/A,N/A,N/A,250.47,N/A,2026-08-29
SOUTH AUSTRALIA,ADELAIDE,192.62,202.15,194.23,216.72,236.02,N/A,2026-08-29
SOUTH AUSTRALIA,PORT LINCOLN,201.41,N/A,N/A,227.36,244.38,N/A,2026-08-29
TASMANIA,DEVONPORT,197.89,210.32,N/A,N/A,238.71,N/A,2026-08-29
TASMANIA,HOBART,197.98,210.38,N/A,225.56,237.99,N/A,2026-08-29
VICTORIA,GEELONG,191.22,201.08,N/A,214.93,235.80,N/A,2026-08-29
VICTORIA,MELBOURNE,191.22,201.08,192.20,214.93,235.80,N/A,2026-08-29
WESTERN AUSTRALIA,BROOME,238.78,249.35,N/A,N/A,263.45,N/A,2026-08-29
WESTERN AUSTRALIA,COCOS Island,N/A,413.76,N/A,N/A,276.56,N/A,2026-08-29
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,253.03,N/A,2026-08-29
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,237.82,N/A,2026-08-29
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,253.03,N/A,2026-08-29
WESTERN AUSTRALIA,PERTH,193.03,207.00,N/A,220.67,231.61,N/A,2026-08-29
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,262.02,N/A,2026-08-29
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,239.91,N/A,2026-08-28
NEW SOUTH WALES,SYDNEY,195.17,205.15,195.29,218.48,239.84,N/A,2026-08-28
NORTHERN TERRITORY,DARWIN,200.28,213.11,N/A,N/A,245.83,N/A,2026-08-28
QUEENSLAND,BRISBANE,193.52,203.41,194.50,216.96,238.54,244.66,2026-08-28
QUEENSLAND,CAIRNS,200.27,215.30,N/A,N/A,244.34,N/A,2026-08-28
QUEENSLAND,GLADSTONE,200.04,209.15,N/A,N/A,242.75,N/A,2026-08-28
