date,state,location,fuel_type,price_cpl
2025-12-10,NSW,Newcastle,diesel,163.8
2025-12-10,NSW,Sydney,diesel,163.7
2025-12-10,NSW,Sydney,e10,162.7
2025-12-10,NSW,Sydney,p95,170.5
2025-12-10,NSW,Sydney,p98,184.6
2025-12-10,NSW,Sydney,ulp91,162.3
2025-12-10,NT,Darwin,diesel,169.3
2025-12-10,NT,Darwin,p95,176.1
2025-12-10,NT,Darwin,ulp91,166.8
2025-12-10,QLD,Brisbane,b5,170.8
2025-12-10,QLD,Brisbane,diesel,162.4
2025-12-10,QLD,Brisbane,e10,161.7
2025-12-10,QLD,Brisbane,p95,168.6
2025-12-10,QLD,Brisbane,p98,183.0
2025-12-10,QLD,Brisbane,ulp91,160.5
2025-12-10,QLD,Cairns,diesel,168.0
2025-12-10,QLD,Cairns,p95,181.0
2025-12-10,QLD,Cairns,ulp91,166.9
2025-12-10,QLD,Gladstone,diesel,166.2
2025-12-10,QLD,Gladstone,p95,174.6
2025-12-10,QLD,Gladstone,ulp91,166.4
2025-12-10,QLD,Mackay,diesel,166.4
2025-12-10,QLD,Mackay,ulp91,167.0
2025-12-10,QLD,Townsville,diesel,167.4
2025-12-10,QLD,Townsville,p95,176.2
2025-12-10,QLD,Townsville,p98,193.4
2025-12-10,QLD,Townsville,ulp91,166.2
2025-12-10,QLD,Weipa,diesel,177.2
2025-12-10,QLD,Weipa,ulp91,189.3
2025-12-10,SA,Adelaide,diesel,164.2
2025-12-10,SA,Adelaide,e10,163.4
2025-12-10,SA,Adelaide,p95,171.1
2025-12-10,SA,Adelaide,p98,186.4
2025-12-10,SA,Adelaide,ulp91,161.7
2025-12-10,SA,Port Lincoln,diesel,171.3
2025-12-10,SA,Port Lincoln,p98,195.6
2025-12-10,SA,Port Lincoln,ulp91,168.0
2025-12-10,TAS,Devonport,diesel,169.9
2025-12-10,TAS,Devonport,p95,176.8
2025-12-10,TAS,Devonport,ulp91,166.2
2025-12-10,TAS,Hobart,diesel,169.2
2025-12-10,TAS,Hobart,p95,176.9
2025-12-10,TAS,Hobart,p98,192.9
2025-12-10,TAS,Hobart,ulp91,166.3
