state,city,unleadedpetrol,premiumunleadedpetrol,unleadedpetrol_e10,unleadedpetrol_98,diesel,biodieselb5,effective_date,date_downloaded
NEW SOUTH WALES,SYDNEY,162.03,170.32,162.54,184.55,171.12,,2025-11-11,2025-11-09T23:01:40.792783+00:00
NEW SOUTH WALES,NEWCASTLE,,,,,171.26,,2025-11-11,2025-11-09T23:01:40.792783+00:00
NORTHERN TERRITORY,DARWIN,168.22,177.62,,,178.01,,2025-11-11,2025-11-09T23:01:40.792783+00:00
QUEENSLAND,BRISBANE,161.52,169.73,162.75,184.17,170.05,178.01,2025-11-11,2025-11-09T23:01:40.792783+00:00
QUEENSLAND,GLADSTONE,167.07,175.42,,,173.71,,2025-11-11,2025-11-09T23:01:40.792783+00:00
QUEENSLAND,MACKAY,167.64,,,,173.88,,2025-11-11,2025-11-09T23:01:40.792783+00:00
QUEENSLAND,TOWNSVILLE,167.19,177.0,,194.25,174.89,,2025-11-11,2025-11-09T23:01:40.792783+00:00
QUEENSLAND,CAIRNS,167.87,181.83,,,175.42,,2025-11-11,2025-11-09T23:01:40.792783+00:00
QUEENSLAND,WEIPA,189.54,,,,183.87,,2025-11-11,2025-11-09T23:01:40.792783+00:00
SOUTH AUSTRALIA,ADELAIDE,161.44,171.03,163.28,186.41,171.68,,2025-11-11,2025-11-09T23:01:40.792783+00:00
SOUTH AUSTRALIA,PORT LINCOLN,168.55,,,196.68,178.89,,2025-11-11,2025-11-09T23:01:40.792783+00:00
TASMANIA,HOBART,166.67,177.41,,193.49,176.18,,2025-11-11,2025-11-09T23:01:40.792783+00:00
TASMANIA,DEVONPORT,166.58,177.35,,,176.85,,2025-11-11,2025-11-09T23:01:40.792783+00:00
VICTORIA,MELBOURNE,160.64,168.84,161.88,183.58,170.3,,2025-11-11,2025-11-09T23:01:40.792783+00:00
VICTORIA,GEELONG,160.64,168.84,,183.58,170.3,,2025-11-11,2025-11-09T23:01:40.792783+00:00
WESTERN AUSTRALIA,PERTH,162.89,175.23,,189.81,172.26,,2025-11-11,2025-11-09T23:01:40.792783+00:00
WESTERN AUSTRALIA,BROOME,200.5,210.57,,,201.86,,2025-11-11,2025-11-09T23:01:40.792783+00:00
WESTERN AUSTRALIA,PORT HEDLAND,186.11,,,,200.42,,2025-11-11,2025-11-09T23:01:40.792783+00:00
WESTERN AUSTRALIA,ESPERANCE,,,,,175.79,,2025-11-11,2025-11-09T23:01:40.792783+00:00
WESTERN AUSTRALIA,DAMPIER,,,,,193.06,,2025-11-11,2025-11-09T23:01:40.792783+00:00
WESTERN AUSTRALIA,COCOS Island,,379.01,,,221.6,,2025-11-11,2025-11-09T23:01:40.792783+00:00
WESTERN AUSTRALIA,KING BAY,,,,,193.06,,2025-11-11,2025-11-09T23:01:40.792783+00:00
