State,City,UnleadedPetrol,PremiumUnleadedPetrol,UnleadedPetrol E10,UnleadedPetrol 98,Diesel,BiodieselB5,Date
NEW SOUTH WALES,SYDNEY,228.84,239.09,228.65,252.40,274.65,N/A,2026-09-22
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,274.53,N/A,2026-09-22
NORTHERN TERRITORY,DARWIN,232.84,245.94,N/A,N/A,279.49,N/A,2026-09-22
QUEENSLAND,BRISBANE,226.83,237.00,227.55,250.53,275.17,279.47,2026-09-22
QUEENSLAND,GLADSTONE,234.11,243.50,N/A,N/A,277.43,N/A,2026-09-22
QUEENSLAND,MACKAY,234.53,N/A,N/A,N/A,277.18,N/A,2026-09-22
QUEENSLAND,TOWNSVILLE,233.52,245.36,N/A,259.95,278.91,N/A,2026-09-22
QUEENSLAND,CAIRNS,233.77,249.63,N/A,N/A,279.13,N/A,2026-09-22
QUEENSLAND,WEIPA,259.39,N/A,N/A,N/A,291.09,N/A,2026-09-22
SOUTH AUSTRALIA,ADELAIDE,227.44,237.25,228.76,251.83,274.63,N/A,2026-09-22
SOUTH AUSTRALIA,PORT LINCOLN,237.20,N/A,N/A,262.44,284.04,N/A,2026-09-22
TASMANIA,HOBART,233.45,246.14,N/A,261.32,278.43,N/A,2026-09-22
TASMANIA,DEVONPORT,233.37,246.08,N/A,N/A,279.18,N/A,2026-09-22
VICTORIA,MELBOURNE,226.04,236.18,226.72,250.02,274.29,N/A,2026-09-22
VICTORIA,GEELONG,226.04,236.18,N/A,250.02,274.29,N/A,2026-09-22
WESTERN AUSTRALIA,PERTH,226.92,241.18,N/A,254.86,272.32,N/A,2026-09-22
WESTERN AUSTRALIA,BROOME,288.10,298.94,N/A,N/A,307.26,N/A,2026-09-22
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,303.17,N/A,2026-09-22
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,278.82,N/A,2026-09-22
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,293.62,N/A,2026-09-22
WESTERN AUSTRALIA,COCOS Island,N/A,444.99,N/A,N/A,313.65,N/A,2026-09-22
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,293.62,N/A,2026-09-22
